hex,nacetyl,deoxyhexose,sialicacid,sulphate,amino,omethyl,oacetyl,pent,phosphate,glyconnect_id,glytoucan_id,mass
9,6,3,0,0,0,0,0,0,0,367,G56284ZY,2160.8191
15,7,1,3,0,0,0,0,0,0,384,G48488CO,3755.3329
17,8,1,3,0,0,0,0,0,0,301,G16208YZ,4120.4651
13,6,1,2,0,0,0,0,0,0,273,G64394MX,3099.1053
11,5,1,3,0,0,0,1,0,0,846,G94974XB,3067.0791
13,6,1,4,0,0,0,1,0,0,864,G98259QP,3723.3067
9,3,1,1,0,0,0,0,0,0,370,G10773YW,2036.7189
8,3,1,1,0,0,0,0,0,0,331,G34730YF,1874.6661
37,18,0,2,0,0,0,0,0,0,888,G34730YF,7334.6338
38,19,0,1,0,0,0,0,0,0,894,G34730YF,7246.6178
38,19,1,1,0,0,0,0,0,0,897,G34730YF,7392.6757
