id	glytoucan_id	format_glyconnect	format_numeric	format_condensed	format_byonic	mass_monoisotopic	reviewed
574	G60145BJ	Hex:3 HexNAc:3	3,3,0,0,0,0,0,0,0,0,0,0,0,0	H3N3	HexNAc(3)Hex(3)	1113.4072	True
169	G60145BJ	Hex:1 HexNAc:4 dHex:1	1,4,1,0,0,0,0,0,0,0,0,0,0,0	H1N4F1	HexNAc(4)Hex(1)dHex(1)	1138.4389	True
36	G60145BJ	HexNAc:3	0,3,0,0,0,0,0,0,0,0,0,0,0,0	N3	HexNAc(3)	627.2488	True
705	G59986YN	Hex:4 HexNAc:1	4,1,0,0,0,0,0,0,0,0,0,0,0,0	H4N1	HexNAc(1)Hex(4)	869.3012	True
509	G63381RX	Hex:4 HexNAc:5 dHex:3	4,5,3,0,0,0,0,0,0,0,0,0,0,0	H4N5F3	HexNAc(5)Hex(4)dHex(3)	2119.7925	True
341	G63381RX	Hex:2 HexNAc:4 dHex:1	2,4,1,0,0,0,0,0,0,0,0,0,0,0	H2N4F1	HexNAc(4)Hex(2)dHex(1)	1300.4917	True
114	G75132WH	Hex:7 HexNAc:11 dHex:4	7,11,4,0,0,0,0,0,0,0,0,0,0,0	H7N11F4	HexNAc(11)Hex(7)dHex(4)	3970.4852	True
694	G12728EY	Hex:5 HexNAc:6 dHex:3	5,6,3,0,0,0,0,0,0,0,0,0,0,0	H5N6F3	HexNAc(6)Hex(5)dHex(3)	2484.9247	True
380	G82053YT	Hex:3 HexNAc:5 dHex:2	3,5,2,0,0,0,0,0,0,0,0,0,0,0	H3N5F2	HexNAc(5)Hex(3)dHex(2)	1811.6818	True
751	G47448YK	Hex:4 HexNAc:4 dHex:3	4,4,3,0,0,0,0,0,0,0,0,0,0,0	H4N4F3	HexNAc(4)Hex(4)dHex(3)	1916.7131	True
453	G22625SJ	Hex:5 HexNAc:5 dHex:3	5,5,3,0,0,0,0,0,0,0,0,0,0,0	H5N5F3	HexNAc(5)Hex(5)dHex(3)	2281.8453	True
180	G70110VK	Hex:5 HexNAc:7 dHex:3	5,7,3,0,0,0,0,0,0,0,0,0,0,0	H5N7F3	HexNAc(7)Hex(5)dHex(3)	2688.0041	True
176	G93450DV	Hex:5 HexNAc:8 dHex:3	5,8,3,0,0,0,0,0,0,0,0,0,0,0	H5N8F3	HexNAc(8)Hex(5)dHex(3)	2891.0835	True
152	G34558ED	Hex:4 HexNAc:6 dHex:3	4,6,3,0,0,0,0,0,0,0,0,0,0,0	H4N6F3	HexNAc(6)Hex(4)dHex(3)	2322.8719	True
128	G12709VH	Hex:6 HexNAc:9 dHex:3	6,9,3,0,0,0,0,0,0,0,0,0,0,0	H6N9F3	HexNAc(9)Hex(6)dHex(3)	3256.2157	True
475	G98748DG	Hex:7 HexNAc:9 dHex:4	7,9,4,0,0,0,0,0,0,0,0,0,0,0	H7N9F4	HexNAc(9)Hex(7)dHex(4)	3564.3264	True
455	G98748DG	HexNAc:5 dHex:2	0,5,2,0,0,0,0,0,0,0,0,0,0,0	N5F2	HexNAc(5)dHex(2)	1325.5234	True
162	G98748DG	HexNAc:5	0,5,0,0,0,0,0,0,0,0,0,0,0,0	N5	HexNAc(5)	1033.4076	True
182	G98748DG	HexNAc:4 dHex:1	0,4,1,0,0,0,0,0,0,0,0,0,0,0	N4F1	HexNAc(4)dHex(1)	976.3861	True
753	G98748DG	HexNAc:7 dHex:2	0,7,2,0,0,0,0,0,0,0,0,0,0,0	N7F2	HexNAc(7)dHex(2)	1731.6822	True
511	G98748DG	HexNAc:5 dHex:1	0,5,1,0,0,0,0,0,0,0,0,0,0,0	N5F1	HexNAc(5)dHex(1)	1179.4655	True
141	G64162JC	Hex:3 HexNAc:2 dHex:2	3,2,2,0,0,0,0,0,0,0,0,0,0,0	H3N2F2	HexNAc(2)Hex(3)dHex(2)	1202.4436	True
668	G64162JC	Hex:3 dHex:2	3,0,2,0,0,0,0,0,0,0,0,0,0,0	H3F2	Hex(3)dHex(2)	796.2848	True
467	G11787ET	Hex:2 HexNAc:1 dHex:1	2,1,1,0,0,0,0,0,0,0,0,0,0,0	H2N1F1	HexNAc(1)Hex(2)dHex(1)	691.2535	True
492	G11787ET	Hex:2 HexNAc:1 dHex:2	2,1,2,0,0,0,0,0,0,0,0,0,0,0	H2N1F2	HexNAc(1)Hex(2)dHex(2)	837.3114	True
476	G11787ET	Hex:2 dHex:2	2,0,2,0,0,0,0,0,0,0,0,0,0,0	H2F2	Hex(2)dHex(2)	634.232	True
537	G11787ET	HexNAc:4	0,4,0,0,0,0,0,0,0,0,0,0,0,0	N4	HexNAc(4)	830.3282	True
43	G11787ET	HexNAc:1 dHex:1	0,1,1,0,0,0,0,0,0,0,0,0,0,0	N1F1	HexNAc(1)dHex(1)	367.1479	True
778	G11787ET	HexNAc:3 dHex:1 Other:1	0,3,1,0,0,0,0,0,0,0,0,0,0,1	N3F1X1	HexNAc(3)dHex(1)Other(1) % this composition contains  (not defined residue for Byonic)	901.354	True
280	G11787ET	HexNAc:3 dHex:1	0,3,1,0,0,0,0,0,0,0,0,0,0,0	N3F1	HexNAc(3)dHex(1)	773.3067	True
326	G11787ET	HexNAc:2 Su:1	0,2,0,0,0,0,1,0,0,0,0,0,0,0	N2s1	HexNAc(2)Sulfo(1)	504.1262	True
148	G11787ET	Hex:1 HexNAc:3 Su:1	1,3,0,0,0,0,1,0,0,0,0,0,0,0	H1N3s1	HexNAc(3)Hex(1)Sulfo(1)	869.2584	True
437	G11787ET	Hex:1 HexNAc:3 dHex:1 Su:1	1,3,1,0,0,0,1,0,0,0,0,0,0,0	H1N3F1s1	HexNAc(3)Hex(1)dHex(1)Sulfo(1)	1015.3163	True
201	G11787ET	Hex:2 HexNAc:3 Su:1	2,3,0,0,0,0,1,0,0,0,0,0,0,0	H2N3s1	HexNAc(3)Hex(2)Sulfo(1)	1031.3112	True
111	G11787ET	HexNAc:3 Su:1	0,3,0,0,0,0,1,0,0,0,0,0,0,0	N3s1	HexNAc(3)Sulfo(1)	707.2056	True
379	G11787ET	HexNAc:1 Su:1	0,1,0,0,0,0,1,0,0,0,0,0,0,0	N1s1	HexNAc(1)Sulfo(1)	301.0468	True
51	G27945LI	Hex:1 HexNAc:1 NeuAc:1 NeuGc:1	1,1,0,1,1,0,0,0,0,0,0,0,0,0	H1N1S1G1	HexNAc(1)Hex(1)NeuAc(1)NeuGc(1)	981.3285	True
65	G27945LI	Hex:1 HexNAc:1 NeuGc:2	1,1,0,0,2,0,0,0,0,0,0,0,0,0	H1N1G2	HexNAc(1)Hex(1)NeuGc(2)	997.3234	True
507	G14669DU	Hex:3 HexNAc:2	3,2,0,0,0,0,0,0,0,0,0,0,0,0	H3N2	HexNAc(2)Hex(3)	910.3278	True
711	G65895WS	Hex:5 HexNAc:5 NeuAc:1 Su:3	5,5,0,1,0,0,3,0,0,0,0,0,0,0	H5N5S1s3	HexNAc(5)Hex(5)NeuAc(1)Sulfo(3)	2374.6374	True
721	G35235JV	Hex:4 HexNAc:4 Su:2	4,4,0,0,0,0,2,0,0,0,0,0,0,0	H4N4s2	HexNAc(4)Hex(4)Sulfo(2)	1638.453	True
407	G22390HK	Hex:6 HexNAc:6 NeuAc:1 Su:4	6,6,0,1,0,0,4,0,0,0,0,0,0,0	H6N6S1s4	HexNAc(6)Hex(6)NeuAc(1)Sulfo(4)	2819.7264	True
266	G55388KB	Hex:5 HexNAc:5 Su:3	5,5,0,0,0,0,3,0,0,0,0,0,0,0	H5N5s3	HexNAc(5)Hex(5)Sulfo(3)	2083.542	True
126	G64916YQ	Hex:4 HexNAc:4 NeuGc:1 Su:3	4,4,0,0,1,0,3,0,0,0,0,0,0,0	H4N4G1s3	HexNAc(4)Hex(4)NeuGc(1)Sulfo(3)	2025.5001	True
532	G67362RV	Hex:4 HexNAc:4 NeuAc:1 Su:3	4,4,0,1,0,0,3,0,0,0,0,0,0,0	H4N4S1s3	HexNAc(4)Hex(4)NeuAc(1)Sulfo(3)	2009.5052	True
